probe_id,model_key,base_model,sae_repo,sae_file,layer_index,feature_id,feature_rank,candidate_dimension,routine_activation,complex_activation,delta,abs_delta,target_dimensions,added_dimensions,note
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30001,,evidence_integration,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30002,,identity_self_model,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30003,,instruction_hierarchy,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30004,,role_binding,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30005,,uncertainty,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30006,,evidence_integration,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30007,,identity_self_model,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30008,,instruction_hierarchy,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30009,,music_recommendation_task,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30010,,repair,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30011,,role_binding,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30012,,uncertainty,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",dry-run placeholder; replace with real Qwen-Scope observations
workspace_pressure__routine_model_name_refusal__vs__complex_model_card_conflict_resolution,qwen_scope_qwen3_1_7b_base,Qwen/Qwen3-1.7B-Base,Qwen/SAE-Res-Qwen3-1.7B-Base-W32K-L0_50,layer5.sae.pt,5,30013,,evidence_integration,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",dry-run placeholder; replace with real Qwen-Scope observations
