probe_id,model_key,base_model,sae_repo,layer_index,feature_id,feature_rank,candidate_dimension,expected_direction,original_activation,counterfactual_activation,delta,observed_direction,target_dimensions,added_dimensions,removed_dimensions,note
pilot_night_drive_to_gym,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1001,,rain_night_drive,decrease,,,,,"rain_night_drive, low_energy_quiet, solitude_melancholy, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy","rain_night_drive, low_energy_quiet, solitude_melancholy",dry-run placeholder; replace with real SAE observations
pilot_night_drive_to_gym,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1002,,low_energy_quiet,decrease,,,,,"rain_night_drive, low_energy_quiet, solitude_melancholy, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy","rain_night_drive, low_energy_quiet, solitude_melancholy",dry-run placeholder; replace with real SAE observations
pilot_night_drive_to_gym,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1003,,solitude_melancholy,decrease,,,,,"rain_night_drive, low_energy_quiet, solitude_melancholy, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy","rain_night_drive, low_energy_quiet, solitude_melancholy",dry-run placeholder; replace with real SAE observations
pilot_night_drive_to_gym,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1004,,high_energy_workout,increase,,,,,"rain_night_drive, low_energy_quiet, solitude_melancholy, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy","rain_night_drive, low_energy_quiet, solitude_melancholy",dry-run placeholder; replace with real SAE observations
pilot_night_drive_to_gym,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1005,,rave_hard_energy,increase,,,,,"rain_night_drive, low_energy_quiet, solitude_melancholy, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy","rain_night_drive, low_energy_quiet, solitude_melancholy",dry-run placeholder; replace with real SAE observations
pilot_night_drive_to_explosive,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1006,,low_energy_quiet,decrease,,,,,"low_energy_quiet, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy",low_energy_quiet,dry-run placeholder; replace with real SAE observations
pilot_night_drive_to_explosive,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1007,,high_energy_workout,increase,,,,,"low_energy_quiet, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy",low_energy_quiet,dry-run placeholder; replace with real SAE observations
pilot_night_drive_to_explosive,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1008,,rave_hard_energy,increase,,,,,"low_energy_quiet, high_energy_workout, rave_hard_energy","high_energy_workout, rave_hard_energy",low_energy_quiet,dry-run placeholder; replace with real SAE observations
pilot_study_to_emotional_lyrics,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1009,,instrumental_focus,decrease,,,,,"instrumental_focus, low_energy_quiet, lyric_narrative, chinese_vocal",lyric_narrative,"instrumental_focus, low_energy_quiet",dry-run placeholder; replace with real SAE observations
pilot_study_to_emotional_lyrics,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1010,,low_energy_quiet,decrease,,,,,"instrumental_focus, low_energy_quiet, lyric_narrative, chinese_vocal",lyric_narrative,"instrumental_focus, low_energy_quiet",dry-run placeholder; replace with real SAE observations
pilot_study_to_emotional_lyrics,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1011,,lyric_narrative,increase,,,,,"instrumental_focus, low_energy_quiet, lyric_narrative, chinese_vocal",lyric_narrative,"instrumental_focus, low_energy_quiet",dry-run placeholder; replace with real SAE observations
pilot_study_to_emotional_lyrics,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1012,,chinese_vocal,inspect,,,,,"instrumental_focus, low_energy_quiet, lyric_narrative, chinese_vocal",lyric_narrative,"instrumental_focus, low_energy_quiet",dry-run placeholder; replace with real SAE observations
pilot_study_to_no_vocals,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1013,,chinese_vocal,decrease,,,,,"chinese_vocal, instrumental_focus, low_energy_quiet",instrumental_focus,chinese_vocal,dry-run placeholder; replace with real SAE observations
pilot_study_to_no_vocals,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1014,,instrumental_focus,increase,,,,,"chinese_vocal, instrumental_focus, low_energy_quiet",instrumental_focus,chinese_vocal,dry-run placeholder; replace with real SAE observations
pilot_study_to_no_vocals,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1015,,low_energy_quiet,inspect,,,,,"chinese_vocal, instrumental_focus, low_energy_quiet",instrumental_focus,chinese_vocal,dry-run placeholder; replace with real SAE observations
pilot_party_warmup_to_rave,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1016,,party_warmup_groove,decrease,,,,,"party_warmup_groove, rave_hard_energy, novelty_discovery",rave_hard_energy,party_warmup_groove,dry-run placeholder; replace with real SAE observations
pilot_party_warmup_to_rave,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1017,,rave_hard_energy,increase,,,,,"party_warmup_groove, rave_hard_energy, novelty_discovery",rave_hard_energy,party_warmup_groove,dry-run placeholder; replace with real SAE observations
pilot_party_warmup_to_rave,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1018,,novelty_discovery,inspect,,,,,"party_warmup_groove, rave_hard_energy, novelty_discovery",rave_hard_energy,party_warmup_groove,dry-run placeholder; replace with real SAE observations
pilot_party_warmup_to_low_presence,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1019,,party_warmup_groove,decrease,,,,,"party_warmup_groove, low_energy_quiet, novelty_discovery",low_energy_quiet,party_warmup_groove,dry-run placeholder; replace with real SAE observations
pilot_party_warmup_to_low_presence,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1020,,low_energy_quiet,increase,,,,,"party_warmup_groove, low_energy_quiet, novelty_discovery",low_energy_quiet,party_warmup_groove,dry-run placeholder; replace with real SAE observations
pilot_party_warmup_to_low_presence,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1021,,novelty_discovery,inspect,,,,,"party_warmup_groove, low_energy_quiet, novelty_discovery",low_energy_quiet,party_warmup_groove,dry-run placeholder; replace with real SAE observations
