probe_id,model_key,base_model,sae_repo,layer_index,feature_id,feature_rank,candidate_dimension,expected_direction,original_activation,counterfactual_activation,delta,observed_direction,target_dimensions,added_dimensions,removed_dimensions,note
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1001,,evidence_integration,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1002,,identity_self_model,inspect,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1003,,instruction_hierarchy,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1004,,role_binding,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_bare_who_are_you__vs__complex_contextual_identity_conflict,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1005,,uncertainty,inspect,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1006,,evidence_integration,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1007,,identity_self_model,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1008,,instruction_hierarchy,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1009,,music_recommendation_task,inspect,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1010,,repair,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1011,,role_binding,inspect,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_agent_role_statement__vs__complex_agent_tool_identity_repair,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1012,,uncertainty,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, music_recommendation_task, repair, role_binding, uncertainty","evidence_integration, identity_self_model, instruction_hierarchy, repair, uncertainty",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_model_name_refusal__vs__complex_model_card_conflict_resolution,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1013,,evidence_integration,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_model_name_refusal__vs__complex_model_card_conflict_resolution,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1014,,identity_self_model,inspect,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_model_name_refusal__vs__complex_model_card_conflict_resolution,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1015,,instruction_hierarchy,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_model_name_refusal__vs__complex_model_card_conflict_resolution,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1016,,role_binding,increase,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
workspace_pressure__routine_model_name_refusal__vs__complex_model_card_conflict_resolution,gemma_scope_2_270m_it,google/gemma-3-270m-it,google/gemma-scope-2-270m-it,12,1017,,uncertainty,inspect,,,,,"evidence_integration, identity_self_model, instruction_hierarchy, role_binding, uncertainty","evidence_integration, instruction_hierarchy, role_binding",,dry-run placeholder; replace with real SAE observations
